date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:19:08	100176/100176	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2015:44:38%20GMT	https://benglalyrics.blogspot.com/	C:/My%20Web%20Sites/YOY/benglalyrics.blogspot.com/index.html	(from )
19:19:09	149/149	---MCZ	200	added ('OK')	text/plain	date:Wed,%2001%20Mar%202023%2015:44:38%20GMT	https://benglalyrics.blogspot.com/robots.txt		(from )
19:19:10	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Wed,%2001%20Mar%202023%2015:44:38%20GMT	https://benglalyrics.blogspot.com/favicon.ico	C:/My%20Web%20Sites/YOY/benglalyrics.blogspot.com/favicon.ico	(from https://benglalyrics.blogspot.com/)
19:19:12	160543/160543	---M-Z	200	added ('OK')	application/atom+xml	date:Wed,%2001%20Mar%202023%2015:44:38%20GMT	https://benglalyrics.blogspot.com/feeds/posts/default	C:/My%20Web%20Sites/YOY/benglalyrics.blogspot.com/feeds/posts/default	(from https://benglalyrics.blogspot.com/)
19:19:14	134049/134049	---M-Z	200	added ('OK')	application/rss+xml	date:Wed,%2001%20Mar%202023%2015:44:38%20GMT	https://benglalyrics.blogspot.com/feeds/posts/default?alt=rss	C:/My%20Web%20Sites/YOY/benglalyrics.blogspot.com/feeds/posts/default9522	(from https://benglalyrics.blogspot.com/)
19:19:15	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/YOY/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://benglalyrics.blogspot.com/)
19:19:15	170570/170570	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Mar%202023%2013:19:18%20GMT	https://cdn.statically.io/gh/TaufiqHdyt/CDN/fd1ce28b/font-awesome-5-pro/css/all.min.css	C:/My%20Web%20Sites/YOY/cdn.statically.io/gh/TaufiqHdyt/CDN/fd1ce28b/font-awesome-5-pro/css/all.min.css	(from https://benglalyrics.blogspot.com/)
19:19:16	4301/4301	---M--	200	added ('OK')	image/jpeg	etag:%22ve47%22	https://2.bp.blogspot.com/-fjaZBtfvzac/UN1mw2tUamI/AAAAAAAADkc/XdKqt8hWZ6w/s1600/anon.jpg	C:/My%20Web%20Sites/YOY/2.bp.blogspot.com/-fjaZBtfvzac/UN1mw2tUamI/AAAAAAAADkc/XdKqt8hWZ6w/s1600/anon.jpg	(from https://benglalyrics.blogspot.com/)
19:19:16	372/372	---M--	200	added ('OK')	image/png	etag:%22v1bdf%22	https://4.bp.blogspot.com/-cmZSAe4hgWI/V0K-3C5xiHI/AAAAAAAAG90/2btatUgRsM4qf8HIc7QweuToTkRqRNeuACLcB/s1600/delete.png	C:/My%20Web%20Sites/YOY/4.bp.blogspot.com/-cmZSAe4hgWI/V0K-3C5xiHI/AAAAAAAAG90/2btatUgRsM4qf8HIc7QweuToTkRqRNeuACLcB/s1600/delete.png	(from https://benglalyrics.blogspot.com/)
19:19:17	1/1	---MC-	200	added ('OK')	text/css	date:Thu,%2002%20Mar%202023%2013:19:20%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=6149577547760819166&zx=da6a413d-385d-42e3-8a6f-c003e17bd584	C:/My%20Web%20Sites/YOY/www.blogger.com/dyn-css/authorization0967.css	(from https://benglalyrics.blogspot.com/)
